SYMBOL,R1,R2,R3,R4,R5,R6
0610009B22Rik,318,224,374,343,376,240
0610010F05Rik,339,364,343,456,457,303
0610010K14Rik,982,1054,1181,715,1148,883
0610012G03Rik,580,907,778,484,634,655
0610030E20Rik,462,742,827,444,715,571
0610037L13Rik,1031,801,1083,717,817,831
0610040J01Rik,0,0,0,6,0,7
1110002E22Rik,0,0,0,0,0,0
1110004F10Rik,2196,2289,2685,2433,2758,2350
1110008L16Rik,337,216,319,442,328,288
1110008P14Rik,167,211,327,362,463,388
1110012L19Rik,751,495,546,462,573,540
1110017D15Rik,0,0,60,17,0,0
1110025L11Rik,0,0,0,0,0,0
1110032A03Rik,404,605,481,283,524,362
1110032F04Rik,0,0,0,10,5,26
1110038F14Rik,548,499,764,565,729,620
1110051M20Rik,604,903,749,509,787,614
1110057P08Rik,0,0,0,0,0,0
1110059E24Rik,273,330,276,307,290,338
1110059G10Rik,410,616,372,326,410,414
1110065P20Rik,335,428,384,447,470,608
1190002N15Rik,1964,2202,1552,1953,1487,1741
1190005I06Rik,521,407,393,243,305,375
1190007I07Rik,147,231,214,104,131,109
1300017J02Rik,0,0,0,0,3,0
1500009C09Rik,0,0,0,0,0,0
1500009L16Rik,0,0,0,16,0,0
1500011B03Rik,782,908,759,556,810,501
1500015O10Rik,0,60,10,44,47,10
1520401A03Rik,17,10,0,21,40,0
1600002K03Rik,170,240,149,223,279,177
1600012H06Rik,675,837,1064,700,1130,545
1600014C10Rik,66,122,140,200,170,252
1600014C23Rik,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0
1600029O15Rik,62,40,49,19,31,37
1700001C02Rik,0,0,0,0,0,0
1700001C19Rik,0,0,0,7,8,6
1700001F09Rik,0,0,0,0,0,0
1700001J03Rik,23,22,22,0,5,0
1700001J11Rik,0,19,0,0,0,0
1700001K19Rik,108,117,56,28,66,63
1700001L19Rik,23,18,27,5,13,0
1700001O22Rik,22,53,126,41,58,70
1700001P01Rik,0,25,69,9,9,14
1700003E16Rik,26,12,0,14,22,14
1700003F12Rik,0,0,0,7,7,6
1700003H04Rik,0,0,0,0,0,0
1700003N22Rik,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0
1700007E05Rik,18,10,1,26,4,0
1700007K13Rik,0,77,20,45,54,31
1700008O03Rik,18,45,25,10,15,0
1700008P02Rik,0,0,0,0,0,0
1700009N14Rik,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0
1700010I14Rik,0,11,0,0,0,0
1700010N08Rik,0,0,0,0,0,0
1700011L22Rik,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,0
1700012B09Rik,0,0,0,0,0,0
1700012P22Rik,0,10,0,0,0,0
1700013F07Rik,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0
1700014D04Rik,0,0,0,0,0,0
1700015F17Rik,0,0,0,0,0,0
1700015G11Rik,0,0,0,0,0,0
1700016C15Rik,0,0,0,6,0,5
1700016D06Rik,13,0,0,0,5,0
1700016H13Rik,0,0,0,2,5,0
1700016K19Rik,12,0,24,11,16,16
1700017B05Rik,495,567,813,637,670,720
1700017D01Rik,0,0,0,0,0,0
1700017N19Rik,0,0,0,0,0,0
1700018B08Rik,0,0,0,4,0,0
1700018F24Rik,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,8,0
1700018M17Rik,0,0,0,0,0,0
1700019A02Rik,0,0,12,0,0,0
1700019D03Rik,455,273,337,263,649,456
1700019M22Rik,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0
1700020A23Rik,0,11,0,0,8,0
1700020D05Rik,11,0,31,10,2,10
1700020L24Rik,0,0,0,2,4,0
1700020N01Rik,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0
1700021F05Rik,299,306,333,334,236,251
1700021F07Rik,0,0,0,0,0,0
1700022A21Rik,0,0,0,0,0,0
1700022I11Rik,0,0,31,10,0,9
1700023F06Rik,78,78,125,89,124,141
1700024B05Rik,0,0,0,0,0,0
1700024G13Rik,16,0,0,0,0,0
1700024J04Rik,22,14,6,24,17,19
1700024P04Rik,0,0,0,0,0,0
1700025B11Rik,0,0,0,0,0,0
1700025C18Rik,0,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0
1700025G04Rik,418,698,458,730,460,618
1700028B04Rik,2,2,0,7,0,0
1700028J19Rik,0,35,34,12,0,13
1700028K03Rik,0,1,0,3,0,20
1700028P14Rik,0,0,0,0,0,0
1700029F12Rik,11,12,20,22,14,7
1700029H14Rik,0,0,0,0,0,0
1700029I15Rik,100,78,79,26,22,61
1700029J07Rik,179,243,262,71,207,25
1700029P11Rik,0,0,0,0,0,0
1700030C10Rik,0,19,30,70,14,49
1700030J22Rik,40,18,38,30,26,45
1700030K09Rik,164,257,260,178,410,205
1700031F05Rik,0,0,0,0,0,0
1700031L13Rik,0,0,0,0,0,0
1700031M16Rik,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,0
1700034I23Rik,0,8,0,0,4,0
1700034J05Rik,0,0,0,7,1,0
1700037C18Rik,90,25,123,67,148,88
1700037H04Rik,805,605,743,616,645,499
1700040F15Rik,0,0,0,0,0,0
1700042G07Rik,0,0,0,0,0,0
1700047I17Rik2,0,0,0,0,0,0
1700049E17Rik1,0,0,0,0,0,0
1700049E17Rik2,0,0,0,0,0,0
1700049L16Rik,0,0,0,0,0,0
1700056E22Rik,19,0,33,21,11,48
1700057G04Rik,0,17,0,8,0,0
1700061G19Rik,0,49,84,49,27,11
1700063K16Rik,0,0,0,0,0,0
1700064H15Rik,0,0,0,0,0,0
1700065I16Rik,0,0,0,0,0,0
1700066B19Rik,12,24,13,19,52,20
1700066M21Rik,115,169,139,123,191,171
1700067K01Rik,0,20,0,0,3,12
1700067P10Rik,0,0,0,0,0,0
1700069L16Rik,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,18,0
1700074P13Rik,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0
1700080O16Rik,0,0,0,0,0,0
1700084J12Rik,1,3,0,0,1,4
1700084M14Rik,0,0,0,0,0,0
1700086D15Rik,0,20,0,2,0,0
1700086L19Rik,0,0,0,0,0,0
1700088E04Rik,88,163,155,120,178,118
1700091H14Rik,0,0,0,0,0,0
1700092M07Rik,0,0,13,4,2,9
1700093K21Rik,0,0,0,0,0,0
1700102P08Rik,75,20,75,28,46,34
1700109H08Rik,149,210,233,96,140,99
1700113H08Rik,0,0,0,0,0,0
1700122O11Rik,0,0,0,0,0,0
1700123K08Rik,0,0,0,0,0,0
1700123L14Rik,0,0,0,0,1,0
1700123O20Rik,620,636,565,675,561,678
1700125H20Rik,0,21,26,0,0,0
1700128F08Rik,0,0,0,0,0,1
1700129C05Rik,2,0,2,0,0,9
1810009A15Rik,329,216,295,405,361,302
1810009J06Rik,0,0,0,0,0,0
1810010D01Rik,0,0,0,4,3,0
1810010H24Rik,56,115,133,61,95,44
1810013L24Rik,2580,2624,2833,2264,1986,2184
1810014B01Rik,44,136,111,96,116,152
1810018F18Rik,0,0,0,0,2,5
1810022K09Rik,401,602,543,462,689,479
1810024B03Rik,18,2,30,11,37,66
1810030O07Rik,1066,840,1063,1074,916,1010
1810037I17Rik,1203,1055,1154,1165,1089,1139
1810043G02Rik,800,857,882,537,590,476
1810046K07Rik,0,0,0,0,0,0
1810049J17Rik,359,427,277,389,416,359
1810055G02Rik,500,385,514,595,591,768
1810058I24Rik,2133,1644,1813,1677,1955,1583
1810062G17Rik,1,70,25,15,29,10
1810065E05Rik,0,0,0,0,0,0
2010003K11Rik,0,0,0,0,0,0
2010005H15Rik,0,0,0,0,0,0
2010010A06Rik,0,0,0,0,0,0
2010106E10Rik,0,0,0,0,0,0
2010109A12Rik,0,0,0,4,0,0
2010109I03Rik,210,102,125,114,125,78
2010111I01Rik,14363,16771,18866,8882,13774,9695
2010300C02Rik,1291,1544,2038,1276,1487,1198
2010315B03Rik,255,233,257,186,285,169
2200002D01Rik,40,37,31,78,119,34
2200002J24Rik,0,0,0,0,0,0
2210010C04Rik,0,0,0,6,13,0
2210011C24Rik,0,0,10,5,15,13
2210016F16Rik,410,483,485,691,554,671
2210016L21Rik,558,895,896,537,1008,652
2210017I01Rik,7,49,46,10,28,1
2210407C18Rik,0,0,0,0,0,0
2210408I21Rik,188,165,127,187,187,192
2210409E12Rik,0,0,0,0,0,0
2210418O10Rik,193,286,207,298,325,251
2300002M23Rik,0,0,0,0,0,0
2300003K06Rik,0,0,0,0,0,0
2300009A05Rik,60,70,118,101,148,70
2310002L09Rik,0,0,0,0,0,0
2310003L06Rik,0,0,0,0,0,0
2310007B03Rik,95,65,63,106,78,22
2310009A05Rik,147,128,152,172,180,193
2310009B15Rik,156,180,227,197,231,177
2310011J03Rik,1325,1024,1358,974,1229,1084
2310022A10Rik,505,625,520,503,616,538
2310022B05Rik,1186,1342,1153,1135,1166,1253
2310030G06Rik,0,44,28,12,54,0
2310033P09Rik,379,576,470,468,482,639
2310034C09Rik,0,0,0,0,0,0
2310034G01Rik,45,43,22,0,18,52
2310039H08Rik,191,282,365,174,161,160
2310040G07Rik,0,0,0,0,0,0
2310046K23Rik,305,223,5,609,154,185
2310050C09Rik,582,600,7,269,336,83
2310057J18Rik,0,0,0,0,0,0
2310057M21Rik,366,329,407,382,548,375
2310057N15Rik,0,0,0,0,1,0
2310061I04Rik,417,561,326,409,646,463
2310061N02Rik,0,0,0,0,0,0
2310079G19Rik,0,0,0,0,0,0
2410002F23Rik,1805,2490,3091,1836,2724,2093
2410004B18Rik,495,561,310,305,499,490
2410004P03Rik,11,18,24,35,31,16
2410015M20Rik,1087,978,914,1208,1280,972
2410024N13Rik,14,18,16,10,2,0
2410131K14Rik,314,622,569,516,606,740
2410137M14Rik,0,4,0,0,0,0
2410141K09Rik,0,0,0,0,4,0
2510002D24Rik,601,819,675,541,733,549
2510009E07Rik,1038,1264,2107,1833,2096,1616
2510039O18Rik,1549,1651,2034,1801,2250,2000
2610001J05Rik,573,485,641,555,784,455
2610002M06Rik,240,313,490,583,515,391
2610005L07Rik,1503,2116,2758,1498,2138,1805
2610008E11Rik,809,935,921,582,891,519
2610021A01Rik,612,405,221,454,472,444
2610024D14Rik,0,0,0,1,0,0
2610028H24Rik,25,0,0,0,0,0
2610042L04Rik,0,0,0,0,0,0
2610044O15Rik8,888,901,1156,730,988,798
2610301B20Rik,253,334,411,266,379,263
2610318N02Rik,0,0,0,6,0,0
2610507B11Rik,4675,4866,5297,5469,6019,5680
2610528A11Rik,0,0,0,51,48,28
2610528J11Rik,98,49,53,131,176,79
2700049A03Rik,612,487,434,695,446,458
2700062C07Rik,239,305,276,161,316,132
2700081O15Rik,530,833,711,850,1011,842
2700097O09Rik,376,416,637,384,594,289
2700099C18Rik,53,20,32,61,122,54
2810004N23Rik,724,696,839,770,944,909
2810006K23Rik,387,326,361,206,209,172
2810021J22Rik,70,305,281,125,138,175
2810025M15Rik,303,309,382,341,323,275
2810039B14Rik,238,273,511,136,197,193
2810047C21Rik1,21,0,0,16,30,15
2810408A11Rik,74,233,83,45,93,33
2810459M11Rik,27,0,74,12,4,19
2900011O08Rik,0,0,0,0,0,0
2900026A02Rik,1820,1838,2183,2814,3019,2562
2900092C05Rik,0,0,0,0,0,0
3000002C10Rik,8,2,119,68,57,65
3110001I22Rik,113,8,129,85,142,133
3110009E18Rik,14,59,107,56,83,78
3110009M11Rik,0,0,0,4,0,0
3110021N24Rik,145,167,205,72,94,89
3110040M04Rik,0,0,0,0,0,0
3110040N11Rik,259,187,372,229,378,281
3110053B16Rik,26,63,68,10,18,30
3110067C02Rik,0,0,0,0,0,0
3110082I17Rik,396,569,623,335,583,505
3110082J24Rik,0,0,0,0,0,0
3300002I08Rik,11,0,77,38,33,39
3425401B19Rik,0,0,0,0,0,0
3830403N18Rik,0,0,0,0,0,0
3830406C13Rik,1224,1222,1363,956,1225,1064
3830417A13Rik,0,0,0,0,0,0
4430402I18Rik,0,8,24,7,12,12
4632433K11Rik,39,0,60,0,0,0
4833418N17Rik,51,163,130,154,179,188
4833420G17Rik,2389,2600,2620,1662,2280,1775
4833423E24Rik,328,316,302,199,278,207
4833427G06Rik,0,0,0,4,0,0
4833439L19Rik,1487,1682,1919,1972,2283,1814
4921501E09Rik,0,0,0,0,0,0
4921504E06Rik,0,0,0,0,0,0
4921507P07Rik,70,31,10,21,27,8
4921509C19Rik,0,0,0,0,0,0
4921511C20Rik,0,0,0,0,0,0
4921511M17Rik,0,0,0,0,0,0
4921517D22Rik,0,0,0,0,0,0
4921524J17Rik,348,311,452,371,359,362
4921524L21Rik,0,0,0,0,0,0
4921530L21Rik,0,0,0,0,0,0
4921536K21Rik,2,34,59,10,17,17
4921539E11Rik,0,0,0,0,0,0
4922502D21Rik,0,0,0,0,0,0
4930402F06Rik,0,0,0,5,0,0
4930402H24Rik,466,583,488,746,516,499
4930402K13Rik,0,0,0,0,0,0
4930404H24Rik,0,0,0,0,0,0
4930404N11Rik,44,0,47,10,15,0
4930407I10Rik,0,0,0,0,0,0
4930412O13Rik,88,70,138,57,57,129
4930415H17Rik,0,0,0,0,0,0
4930415L06Rik,0,0,0,0,0,0
4930415O20Rik,11,0,0,0,41,13
4930421P07Rik,0,1,0,0,0,0
4930430A15Rik,0,0,1,11,11,0
4930430F08Rik,459,401,275,297,428,359
4930431P19Rik,109,136,119,48,138,87
4930432E11Rik,0,18,0,0,0,6
4930432K21Rik,38,9,74,15,38,16
4930432M17Rik,0,0,0,0,0,0
4930433I11Rik,0,0,0,0,0,0
4930435E12Rik,0,0,0,0,0,0
4930438A08Rik,0,0,0,27,7,23
4930444G20Rik,0,0,0,0,0,0
4930444P10Rik,0,2,0,7,20,32
4930447A16Rik,0,0,22,0,12,0
4930447C04Rik,33,8,16,9,8,11
4930447F04Rik,0,0,0,0,0,0
4930448K20Rik,0,0,0,0,0,0
4930449A18Rik,0,113,24,0,0,0
4930449I24Rik,0,0,0,0,0,0
4930451G09Rik,83,104,26,84,104,119
4930451I11Rik,0,0,0,0,0,0
4930452B06Rik,0,0,0,0,0,0
4930453N24Rik,555,742,655,602,850,578
4930455H04Rik,0,0,0,0,58,0
4930465K10Rik,7,16,0,4,0,0
4930467E23Rik,0,0,0,0,8,0
4930469K13Rik,11,8,25,8,11,29
4930470P17Rik,0,0,0,0,0,0
4930471M09Rik,0,7,0,0,12,0
4930474N05Rik,6,0,0,11,8,0
4930480E11Rik,0,0,0,0,0,0
4930486L24Rik,0,0,0,0,0,0
4930488N24Rik,0,0,0,0,0,0
4930502E18Rik,0,0,0,0,0,1
4930503B20Rik,0,0,0,5,0,0
4930503E14Rik,0,0,0,0,0,0
4930503E24Rik,0,0,0,0,0,0
4930503H13Rik,0,0,0,0,0,0
4930503L19Rik,34,29,122,123,111,134
4930505A04Rik,0,9,50,3,7,0
4930512M02Rik,0,0,0,0,0,0
4930513O06Rik,0,0,0,0,0,0
4930515G13Rik,0,0,0,0,0,0
4930515G16Rik,0,0,0,3,0,0
4930516K23Rik,4,39,16,10,14,2
4930519F09Rik,0,0,0,0,0,0
4930519F16Rik,0,0,1,0,0,0
4930519G04Rik,17,21,24,7,17,12
4930522H14Rik,0,0,0,0,0,0
4930522L14Rik,378,341,358,240,376,218
4930523C07Rik,3066,3229,3921,1971,1766,2005
4930524B15Rik,0,0,0,0,0,0
4930524N10Rik,0,0,0,0,0,0
4930526A20Rik,19,1,3,11,2,4
4930529C04Rik,0,1,4,1,7,2
4930539E08Rik,2,88,24,75,12,62
4930544D05Rik,0,0,0,0,0,0
4930544G11Rik,0,0,0,0,0,0
4930548H24Rik,31,21,39,16,57,8
4930550C14Rik,32,0,0,19,4,24
4930550L24Rik,0,0,0,0,0,0
4930555G01Rik,0,0,0,0,0,0
4930555K19Rik,0,0,0,0,6,0
4930556J24Rik,0,0,0,0,14,0
4930558C23Rik,0,0,0,0,0,0
4930558K02Rik,0,0,0,0,0,0
4930562C15Rik,114,43,106,85,66,105
4930563E22Rik,6,6,0,14,15,2
4930563M21Rik,0,9,0,0,0,0
4930564D02Rik,0,0,0,0,0,0
4930568D16Rik,0,0,0,0,0,0
4930572O03Rik,0,0,0,0,0,0
4930578C19Rik,0,0,0,0,0,0
4930578G10Rik,13,32,79,128,137,151
4930578I06Rik,0,0,0,0,0,0
4930579F01Rik,0,0,0,0,0,0
4930579G24Rik,45,72,118,131,216,138
4930583I09Rik,0,0,0,0,0,0
4930590J08Rik,29,43,73,15,46,2
4930595D18Rik,0,0,0,0,7,5
4930595M18Rik,0,0,0,0,0,0
4930596D02Rik,0,0,0,0,0,0
4931400O07Rik,0,0,0,0,0,0
4931406B18Rik,0,3,5,6,8,2
4931406C07Rik,531,532,582,503,653,491
4931406P16Rik,1011,1651,1906,1517,1480,1542
4931408C20Rik,0,0,0,0,0,0
4931409K22Rik,0,0,0,0,0,0
4931414P19Rik,297,199,319,165,153,96
4931417E11Rik,0,0,0,0,0,0
4931422A03Rik,50,43,15,38,23,12
4931423N10Rik,0,10,0,0,0,0
4931428F04Rik,87,486,262,181,473,377
4931428L18Rik,11,137,120,46,83,58
4931429L15Rik,0,0,1,0,0,0
4931440F15Rik,9,12,14,8,5,0
4931440P22Rik,170,211,394,117,139,84
4932411N23Rik,0,0,17,0,2,0
4932414N04Rik,0,0,18,0,15,1
4932415D10Rik,0,0,0,0,13,0
4932415M13Rik,0,0,0,0,3,10
4932429P05Rik,0,0,0,0,0,0
4932431P20Rik,0,0,0,0,0,0
4932438A13Rik,3587,4238,5895,4507,4338,3893
4932438H23Rik,0,15,0,25,14,0
4933400A11Rik,0,0,21,6,0,0
4933401B06Rik,0,0,0,0,0,0
4933402D24Rik,27,14,0,12,10,3
4933402E13Rik,0,0,0,0,0,0
4933402J07Rik,0,0,0,0,0,0
4933402N03Rik,0,0,0,0,0,3
4933402N22Rik,0,0,0,0,0,0
4933403O08Rik,0,0,0,0,0,0
4933405L10Rik,0,0,16,0,15,0
4933405O20Rik,0,0,0,0,0,0
4933406M09Rik,0,0,0,0,0,0
4933407L21Rik,0,1,0,10,0,10
4933408B17Rik,118,141,99,10,58,30
4933409G03Rik,0,0,0,0,0,0
4933411K16Rik,0,17,13,8,13,0
4933412A08Rik,17,11,0,0,0,5
4933412E24Rik,0,0,0,0,0,0
4933414I15Rik,0,0,0,0,0,0
4933415F23Rik,0,0,0,0,0,0
4933416C03Rik,0,0,0,0,0,0
4933416E14Rik,0,0,0,0,0,0
4933416I08Rik,0,0,0,0,0,0
4933417A18Rik,0,0,0,0,0,0
4933417G07Rik,0,0,0,0,0,0
4933421I07Rik,0,0,0,0,0,0
4933424G06Rik,0,0,0,7,0,0
4933425L06Rik,0,0,0,0,0,0
4933427D14Rik,892,339,503,285,301,294
4933427G23Rik,0,0,0,0,0,0
4933428G20Rik,40,124,16,48,24,31
4933428M09Rik,0,0,0,0,0,0
4933430I17Rik,11,54,24,5,23,11
4933434E20Rik,697,1014,1224,769,858,703
4933436I01Rik,0,0,0,0,0,0
5031410I06Rik,0,0,0,0,0,0
5031439G07Rik,1262,1480,1186,1347,1437,1466
5033404E19Rik,0,0,0,0,0,0
5033423K11Rik,0,0,0,0,0,0
5330417C22Rik,0,0,0,11,6,17
5430401F13Rik,0,0,0,0,0,0
5430402E10Rik,0,0,0,0,0,0
5430403G16Rik,180,227,253,169,141,163
5430419D17Rik,0,0,0,0,0,0
5430427O19Rik,14,12,1,3,6,0
5430437J10Rik,23,66,25,0,0,0
5530400C23Rik,0,0,0,0,0,0
5530401A14Rik,0,1,0,12,1,0
5730409E04Rik,274,464,607,234,506,336
5730416F02Rik,0,0,0,0,0,0
5730455P16Rik,993,1204,1209,730,1104,727
5730480H06Rik,572,772,959,425,678,396
5730507C01Rik,21,64,80,49,105,37
5730522E02Rik,0,0,0,7,9,5
5830411N06Rik,0,0,0,0,0,0
5830417I10Rik,948,1090,1791,1159,1305,1206
5830473C10Rik,0,0,0,0,0,0
6030408B16Rik,3,0,1,19,12,16
6030458C11Rik,696,809,969,827,964,833
6030468B19Rik,0,10,42,3,31,14
6030498E09Rik,0,0,0,0,0,0
6330403K07Rik,220,227,256,31,19,36
6330409D20Rik,0,0,0,0,0,0
6330411D24Rik,0,0,0,0,0,0
6330549D23Rik,37,56,0,38,47,24
6430531B16Rik,0,0,0,11,23,6
6430548M08Rik,96,68,172,120,140,152
6430550D23Rik,51,1,21,35,32,24
6430571L13Rik,77,61,64,24,71,66
6430628N08Rik,19,0,0,0,0,0
6720489N17Rik,275,137,117,98,124,131
6820408C15Rik,0,0,0,0,0,0
6820431F20Rik,6831,9944,10484,6601,8443,6955
7420426K07Rik,0,0,0,0,0,0
7530416G11Rik,1,3,7,0,7,3
7530428D23Rik,0,0,1,4,24,0
8030411F24Rik,0,0,0,0,0,0
8030462N17Rik,558,594,646,618,674,544
8030474K03Rik,0,0,0,0,1,0
9030025P20Rik,393,498,934,325,556,495
9030619P08Rik,0,11,0,0,0,0
9030624G23Rik,38,38,28,40,102,53
9130008F23Rik,435,382,455,323,465,442
9130019O22Rik,22,138,109,126,114,139
9130023H24Rik,35,228,164,133,180,158
9130204L05Rik,0,0,0,0,0,0
9130208D14Rik,0,0,0,0,0,0
9130230L23Rik,55,43,25,32,105,29
9130401M01Rik,378,399,615,403,554,477
9130409I23Rik,0,17,21,14,16,11
9230102O04Rik,0,87,92,26,81,18
9230104L09Rik,0,0,0,0,0,0
9230110F15Rik,0,0,0,0,0,0
9230112D13Rik,0,0,0,0,0,0
9230113P08Rik,21,33,81,11,37,28
9330102E08Rik,35,48,10,28,94,42
9330159F19Rik,27,0,2,9,11,19
9330182L06Rik,0,9,53,40,21,53
9330182O14Rik,0,4,4,8,0,0
9430007A20Rik,0,25,45,0,0,0
9430015G10Rik,691,729,721,615,740,584
9430025C20Rik,0,1,0,6,3,9
9430038I01Rik,111,314,197,275,321,186
9430069I07Rik,0,22,0,0,0,0
9530002B09Rik,0,0,0,0,0,0
9530003J23Rik,0,0,0,0,0,0
9530050K03Rik,0,11,30,0,5,0
9530053A07Rik,16,39,24,23,26,14
9530068E07Rik,4111,4197,4560,4500,4811,4282
9530077C05Rik,27,41,46,44,70,31
9630041A04Rik,0,0,0,0,0,0
9830107B12Rik,0,10,2,0,0,4
9930012K11Rik,12,84,85,19,143,24
9930021J03Rik,1601,1722,1756,1816,1813,1967
9930022D16Rik,0,0,19,0,0,0
9930104L06Rik,620,895,913,434,824,576
9930111J21Rik1,0,11,0,23,20,0
9930111J21Rik2,27,47,78,9,12,0
a,0,0,0,15,0,13
A030003K21Rik,0,0,0,0,0,0
A030005K14Rik,0,0,0,0,0,0
A030005L19Rik,0,0,28,1,5,10
A030014E15Rik,0,0,0,5,0,0
A130006I12Rik,0,0,0,1,0,0
A130010J15Rik,525,226,691,373,624,373
A1bg,0,0,0,0,0,0
A1cf,0,0,0,0,0,0
A230050P20Rik,98,100,129,141,231,189
A230072I06Rik,0,0,0,0,0,0
A26c2,0,0,0,0,0,0
A2m,0,0,0,1,0,0
A2ml1,0,0,0,1,5,0
A330044P14Rik,0,0,5,0,23,1
A330070K13Rik,0,0,0,0,0,0
A3galt2,172,61,204,68,54,50
A430005L14Rik,486,485,390,471,596,441
A430033K04Rik,320,315,156,199,190,187
A430060F13Rik,0,0,0,0,0,0
A430078G23Rik,0,0,0,0,0,0
A430089I19Rik,0,0,0,0,0,0
A4galt,8,20,16,30,7,0
A4gnt,0,0,0,0,0,0
A530016L24Rik,0,0,0,0,0,0
A530032D15Rik,0,0,0,0,0,0
A530064D06Rik,14,3,50,16,6,2
A530084C06Rik,0,0,0,0,0,0
A630001G21Rik,39,0,23,20,22,34
A630010A05Rik,18,80,36,17,60,36
A630023A22Rik,0,15,39,0,0,0
A630073D07Rik,18,22,78,5,50,41
A630076J17Rik,0,0,0,0,0,0
A630089N07Rik,128,156,71,96,219,120
A630095E13Rik,0,0,0,0,0,0
A630095N17Rik,28,0,35,12,12,0
A730009L09Rik,0,0,0,0,0,0
A730046J19Rik,0,0,0,0,3,0
A730049H05Rik,1,0,0,7,9,5
A730071L15Rik,0,0,0,0,0,0
A830005F24Rik,15,0,0,0,8,0
A830018L16Rik,19,15,0,7,36,0
A830031A19Rik,0,0,0,0,0,0
A930002H24Rik,0,0,44,0,8,0
A930003A15Rik,0,0,0,0,0,0
A930004D18Rik,135,317,199,256,446,256
A930009A15Rik,14,6,0,17,13,10
A930017K11Rik,19,10,19,3,0,0
A930017M01Rik,0,0,11,0,8,0
A930018P22Rik,0,0,0,0,36,0
A930033H14Rik,22,5,54,66,56,61
A930035D04Rik,25,48,0,12,16,17
AA413626,0,30,0,0,8,0
AA414768,0,0,0,23,21,0
AA467197,0,0,0,0,4,3
AA543401,0,0,0,0,0,0
AA619741,0,0,0,0,0,0
AA623943,0,0,0,0,0,0
AA792892,0,0,0,0,0,0
AA986860,63,233,77,154,116,43
Aaas,555,619,724,686,768,703
Aacs,828,1251,692,900,1466,1195
Aadac,0,236,138,55,59,77
Aadacl2,0,0,0,16,6,6
Aadacl3,0,418,156,6,0,0
Aadacl4,0,160,57,2,0,0
Aadat,0,0,0,0,0,0
Aaed1,1315,1843,1406,1230,1240,1039
Aagab,1689,1960,2239,1533,1619,1447
Aak1,1476,1921,2398,1679,2033,1715
Aamdc,333,285,384,202,337,305
Aamp,3968,3718,4080,4281,4887,4519
Aanat,0,0,1,1,0,19
Aar2,542,675,764,810,694,566
Aard,12,0,0,12,1,0
Aars,1745,1969,2087,1696,2370,2291
Aars2,562,474,733,334,782,509
Aarsd1,661,351,731,616,553,423
Aasdh,570,536,767,364,568,384
Aasdhppt,848,586,465,666,653,672
Aass,0,22,0,0,0,24
Aatf,1103,687,768,724,957,875
Aatk,0,0,14,15,20,1
AB124611,0,54,8,5,5,0
Abat,61,136,72,86,58,30
Abca1,3353,4794,4630,2542,2660,2698
Abca12,387,73,151,322,185,228
Abca13,0,0,0,0,0,0
Abca14,0,0,0,0,0,0
Abca15,0,0,0,0,0,0
Abca16,0,0,0,5,0,0
Abca17,0,0,0,9,0,0
Abca2,1525,2662,3353,2065,2708,2449
Abca3,1049,1202,1717,1152,1395,1227
Abca4,39,44,139,12,76,38
Abca5,833,917,1011,364,641,603
Abca6,13,25,0,12,0,0
Abca7,1355,1401,2055,1386,2312,1812
Abca8a,0,251,12,76,84,36
Abca8b,36,92,27,82,70,19
Abca9,0,69,0,94,101,24
Abcb10,621,533,474,677,727,825
Abcb11,0,0,0,8,0,0
Abcb1a,0,0,29,0,30,4
Abcb1b,89,126,73,362,400,427
Abcb4,45,29,57,10,38,3
Abcb5,0,0,0,0,0,0
Abcb6,377,620,403,403,432,394
Abcb7,862,927,1227,1205,1225,1155
Abcb8,1010,967,757,822,1249,985
Abcb9,36,173,143,48,93,112
Abcc1,2967,3766,4606,4763,4436,4988
Abcc10,721,1081,1723,707,1135,829
Abcc12,7,0,0,0,0,0
Abcc2,23,0,44,4,10,0
Abcc3,266,130,169,943,1514,1183
Abcc4,65,205,65,133,181,146
Abcc5,2687,2520,3185,2939,3148,2594
Abcc6,193,345,244,110,278,121
Abcc8,0,0,0,0,0,0
Abcc9,10,12,9,0,0,53
Abcd1,200,298,212,118,273,187
Abcd2,0,0,5,0,16,5
Abcd3,1924,2671,2558,2378,2511,2086
Abcd4,761,643,952,798,1082,762
Abce1,1559,1443,1880,2423,2979,2298
Abcf1,2327,2291,2934,3410,3082,3361
Abcf2,1241,1233,1086,1469,1836,1726
Abcf3,1181,911,1056,1058,1376,1347
Abcg1,257,366,406,149,105,133
Abcg2,707,739,656,1179,1081,931
